card_id,Name,pos,Superstar?,passive? (display text),Suit,Run Bonus,Short Pass,Deep Pass,Run Coverage,Short Coverage,Deep Coverage,Stamina,Grit,a1_trigger,a1_target,a1_fail_event,a1_cond,a1_cond_val,a1_cond2,a1_cond2_val,a1_effect,a1_effect_val,a2_trigger,a2_target,a2_fail_event,a2_cond,a2_cond_val,a2_cond2,a2_cond2_val,a2_effect,a2_effect_val
00096,Damon Norris,DB,0,If pass is incomplete on 1st down add 2 to your defense's grit,Spades,,,,0,2,2,10,1,OnPass,None,,Down,1,LastPassIncomplete,,ModifyGrit,Self|2,,,,,,,,,
00097,Elijah Reyes,DB,0,If the slot has 2 helmets reduce short pass by 3 this play,Clubs,,,,0,3,2,10,1,OnPass,Self,,SlotIcon,Helmet|>=2,,,AddStat,,,,,,,,,,
00098,Felix Stone,DB,,If coverage guess is correct reduce pass by an extra 1 yard for each helmet icon,Spades,,,,0,2,3,10,2,OnPlay,Self,,CoverageGuess,correct,,,AddStatPerIcon,,,,,,,,,,
00099,Ibrahim Lewis,DB,0,"On consecutive pass plays reduce the second pass by 3, resets after 2nd pass.",Clubs,,,,0,2,3,10,1,OnPass,Self,,Consecutive,ShortPass|>=2,,,AddStat,ShortCoverage|3|1,OnPass,Self,,Consecutive,LongPass|>=2,,,AddStat,DeepCoverage|3|1
00100,Kevin Myers,DB,0,"After an incomplete pass, you may discard 1 card to add 3 grit to your team's defensive pool",Hearts,,,,0,2,2,10,1,OnPass,,,LastPassIncomplete,,,,DiscardChoice,Grit|3|1,,,,,,,,,
00101,Marcus Wells,DB,0,If you have 3 or more DBs reduce deep pass by 4,Hearts,,,,0,0,3,10,2,OnPass,Self,,BoardCount,DB|Self|>=3,,,AddStat,DeepCoverage|4|1,,,,,,,,,
00103,Owen Maxwell,DB,,If your grit is greater than offense on 4th down reduce any pass by 2,Clubs,,,,0,2,1,10,1,OnPlay,Self,,GritCompare,higher,Down,4,AddStat,ShortCoverage|2|1,OnPlay,Self,,GritCompare,higher,Down,4,AddStat,DeepCoverage|2|1
00104,Aaron Miller,DL,,While on the field if your grit is higher reduce run by an additional 2 each play,Clubs,,,,2,0,0,10,2,OnPlay,Self,,GritCompare,higher,,,AddStat,RunCoverage|2|1,,,,,,,,,
00105,Bruce Coleman,DL,,Slot trigger 10 percent chance to force a fumble on run,Diamonds,,,,1,0,0,10,2,OnRun,Self,RunnerFumble,SlotIcon,Wild|>=1,,,,,,,,,,,,,
00106,Charles Hayes,DL,,When placed if offense has 1 or fewer OL reduce their run by 3 this play,Hearts,,,,2,0,0,10,1,OnRun,Self,,BoardCount,OL|Opp|<=1,,,AddStat,RunCoverage|3|1,,,,,,,,,
00107,Damian Garcia,DL,,+2 run bonus on correct run coverage plays,Clubs,,,,3,0,0,10,2,OnRun,Self,,CoverageGuess,correct,,,AddStat,RunCoverage|2|1,,,,,,,,,
00109,Frank Johnson,DL,,If you have at least 2 star DL your run coverage is +2,Clubs,,,,3,0,0,10,2,OnRun,Self,,StarCount,,,,AddStat,RunCoverage|2|1,,,,,,,,,
00110,Benji Adujilo,DL,,"if you have more DL than OL, 50% chance to reduce 1 stamina from highest OL stamina",Spades,,,,0,0,0,0,,OnPlay,Self,,CompareCounts,DL|OL|>,,,AddStat,,,,,,,,,,
00111,Henry Walker,DL,,Charge Up after 5 star icons next run coverage is +6,Hearts,,,,3,0,0,10,2,OnRun,Self,,,,,,Charge,Star|5|RunCoverage|6|1,,,,,,,,,
00112,Keith Ward,DL,,3rd down run bonus +3,Spades,,,,3,0,0,10,2,OnRun,Self,,Down,3,,,AddStat,RunCoverage|3|1,,,,,,,,,
00113,Lewis Rice,DL,0,Slot trigger 5 percent chance to sack if deep pass is called,Hearts,,,,0,0,4,10,1,OnPass,Self,Sack,PlayType,LongPass,SlotIcon,Star|>=2,,,,,,,,,,,
00114,Mark Sanchez,DL,,If you have more DL than offense has OL reduce run and short pass by 3,Diamonds,,,,4,0,0,10,2,OnRun,Self,,CompareCounts,DL|OL|>,,,AddStat,RunCoverage|3|1,,,,,,,,,
00115,Noah Bailey,DL,,"Each time you call correct pass coverage, reduce next run by 3",Hearts,,,,3,0,0,10,1,OnRun,Self,,CoverageGuess,correct,,,AddStat,RunCoverage|3|1,,,,,,,,,
00116,Oscar Green,DL,,If your coverage is run and offense tries short pass reduce short pass by 2,Hearts,,,,3,2,0,10,1,OnPlay,Self,,,,,,AddStat,ShortCoverage|2|1,,,,,,,,,
00117,Ray Medina,DL,,Slot trigger 15 percent chance to cause minus tackle at L.O.S if run is 10 or less at time of slot,Diamonds,,,,3,0,0,10,1,OnRun,Self,TackleForLoss,SlotIcon,Wild|>=1,,,AddStat,,,,,,,,,,
00119,Thomas Clark,DL,,4th down run bonus +5,Clubs,,,,5,0,0,10,2,OnRun,Self,,Down,4,,,AddStat,RunCoverage|5|1,,,,,,,,,
